system:index,CO_density,City,Date,Ward,.geo
0000000000000000004b_2,0.024317308633031418,Banglore,01-07-2019,Bagalakunte,
0000000000000000004b_3,0.034111697098670776,Banglore,01-10-2019,Bagalakunte,
0000000000000000004b_4,0.03629117223228669,Banglore,01-01-2020,Bagalakunte,
0000000000000000004b_5,0.040826263789819205,Banglore,01-04-2020,Bagalakunte,
0000000000000000004b_6,0.02423771287529818,Banglore,01-07-2020,Bagalakunte,
0000000000000000004b_7,0.03319819993984835,Banglore,01-10-2020,Bagalakunte,
0000000000000000004c_0,0.0363734285931454,Banglore,01-01-2019,T Dasarahalli,
0000000000000000004c_1,0.0432757263959647,Banglore,01-04-2019,T Dasarahalli,
0000000000000000004c_2,0.024189557589423823,Banglore,01-07-2019,T Dasarahalli,
0000000000000000004c_3,0.03454754702154685,Banglore,01-10-2019,T Dasarahalli,
0000000000000000004c_4,0.03648606062611365,Banglore,01-01-2020,T Dasarahalli,
0000000000000000004c_5,0.04056287353439401,Banglore,01-04-2020,T Dasarahalli,
0000000000000000004c_6,0.024434092432169062,Banglore,01-07-2020,T Dasarahalli,
0000000000000000004c_7,0.033279212322402066,Banglore,01-10-2020,T Dasarahalli,
0000000000000000004d_0,0.03662932178946461,Banglore,01-01-2019,Chokkasandra,
0000000000000000004d_1,0.04356821171263391,Banglore,01-04-2019,Chokkasandra,
0000000000000000004d_2,0.02434776171259462,Banglore,01-07-2019,Chokkasandra,
0000000000000000004d_3,0.03430278300843388,Banglore,01-10-2019,Chokkasandra,
0000000000000000004d_4,0.036544519119883066,Banglore,01-01-2020,Chokkasandra,
0000000000000000004d_5,0.040764318789236406,Banglore,01-04-2020,Chokkasandra,
0000000000000000004d_6,0.024218889997360795,Banglore,01-07-2020,Chokkasandra,
0000000000000000004d_7,0.03316775176002687,Banglore,01-10-2020,Chokkasandra,
0000000000000000004e_0,0.0373539261888506,Banglore,01-01-2019,Peenya Industrial Area,
0000000000000000004e_1,0.044143790407170376,Banglore,01-04-2019,Peenya Industrial Area,
0000000000000000004e_2,0.024254415362151702,Banglore,01-07-2019,Peenya Industrial Area,
0000000000000000004e_3,0.03425257299479615,Banglore,01-10-2019,Peenya Industrial Area,
0000000000000000004e_4,0.03684458227980917,Banglore,01-01-2020,Peenya Industrial Area,
0000000000000000004e_5,0.04118239924222794,Banglore,01-04-2020,Peenya Industrial Area,
